Name,Text,Location,Tags,Social_media,Web,Links
5GAA - 5G Automotive Association e.V.,5GAA - 5G Automotive Association e.V.: more company information coming soon.,Hall 6 Stand 6E12,[None],"['https://x.com/intent/tweet?text=I%20am%20at%205GAA%20-%205G%20Automotive%20Association%20e.V.', 'https://www.facebook.com/share.php?u=/exhibitors/26995-5gaa-5g-automotive-association-e-v']",,https://www.mwcbarcelona.com/exhibitors/26995-5gaa-5g-automotive-association-e-v
6D Technologies,"6D Technologies is a technology-driven organization that delivers innovative solutions for telecom, fintech, and enterprises. The company follows the vision of delivering smart ideas for a transformational experience with the advantage of future-driven technologies like IoT, AI/ML Ops, Big Data Analytics, 5G, Cloud, and more. We help our clients scale up their business by focusing on the interplay of smart technology offerings including Digital BSS, IoT and M2M, AI-powered Customer Value Management, Sales and Distribution, Digital Financial Solutions, Unified VAS, SMS Firewall and Networking Solutions, and more. Thrive your business with our Digital 360 initiative that caters to monetization through automation.",Hall 2 Stand 2D40,"['ARTIFICIAL INTELLIGENCE', 'CLOUD SERVICES', 'SMART CITIES', 'BIG DATA/ANALYTICS', 'ENTERPRISE SOLUTIONS']","['https://x.com/intent/tweet?text=I%20am%20at%206D%20Technologies', 'https://www.facebook.com/share.php?u=/exhibitors/26837-6d-technologies']",https://www.6dtechnologies.com/,https://www.mwcbarcelona.com/exhibitors/26837-6d-technologies
6WIND,"6WIND is a leading Green Tech company that specializes in delivering Virtualized & Cloud-Native networking software. The company is globally recognized as the leading provider of Virtual Service Router software solutions.
6WIND software solutions are deployed by CSPs, MNOs, Cloud Providers, Data Centers & Enterprises worldwide, enabling them to replace expensive hardware & build highly optimized and sustainable 5G, SD WAN, and IoT networks with virtualized networking software solutions for routing and security use cases.
6WIND has a global presence with Headquarters based in Paris – France, Santa Clara, CA – USA and Singapore.

Follow 6WIND:
LinkedIn: https://www.linkedin.com/company/6WIND
Twitter: https://twitter.com/6WINDsoftware",Hall 2 Stand 2D30,"['5G/6G', 'IOT', 'NETWORK SECURITY', 'SOFTWARE SERVICES', 'MNO/MVNO']","['https://x.com/intent/tweet?text=I%20am%20at%206WIND', 'https://www.facebook.com/share.php?u=/exhibitors/26253-6wind']",https://www.6wind.com/,https://www.mwcbarcelona.com/exhibitors/26253-6wind
@ ZeroError.ai,"Corporate Executives are among the biggest decision makers in the world with unparalleled access to funding. Yet they remain one of the most un-served communities by AI advancements. ZeroError.ai is about humanizing AI, enabling Executives to get answers from complex and dynamic enterprise data in minutes without any tech investment.

Despite recent advances in AI, decision making in corporations remains mostly supported by manual analysis and reporting. These processes are slow, siloed and prone to human errors. ZeroError.ai is a game changing AI platform providing actionable insights at unprecedented speed while addressing the common challenges of data inconsistencies, errors, and fraud.

Our headquarters are in NY and part of our team is based in Europe. We are a diverse team of business executives, engineers and researchers with a passion for creating true data-driven organizations.",Hall 6 Stand 6E86,"['ARTIFICIAL INTELLIGENCE', 'CLOUD SERVICES', 'BIG DATA/ANALYTICS', 'FINTECH/FINANCE/INSURANCE SERVICES']","['https://x.com/intent/tweet?text=I%20am%20at%20%40%20ZeroError.ai', 'https://www.facebook.com/share.php?u=/exhibitors/26881-zeroerror-ai']",https://www.zeroerror.ai/,https://www.mwcbarcelona.com/exhibitors/26881-zeroerror-ai
AALTO HAPS LIMITED,AALTO HAPS LIMITED: more company information coming soon.,Hall 4 Stand 4B25,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AALTO%20HAPS%20LIMITED', 'https://www.facebook.com/share.php?u=/exhibitors/26673-aalto-haps-limited']",,https://www.mwcbarcelona.com/exhibitors/26673-aalto-haps-limited
Aava Mobile,Aava Mobile: more company information coming soon.,Hall 5 Stand 5J45,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Aava%20Mobile', 'https://www.facebook.com/share.php?u=/exhibitors/27513-aava-mobile']",,https://www.mwcbarcelona.com/exhibitors/27513-aava-mobile
"ABUP Technology Co., Ltd.","ABUP Technology Co., Ltd.: more company information coming soon.",Hall 7 Stand 7F7,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20ABUP%20Technology%20Co.%2C%20Ltd.', 'https://www.facebook.com/share.php?u=/exhibitors/27228-abup-technology-co-ltd']",,https://www.mwcbarcelona.com/exhibitors/27228-abup-technology-co-ltd
"Abzu Barcelona, S.L.","Abzu Barcelona, S.L.: more company information coming soon.",Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C13,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Abzu%20Barcelona%2C%20S.L.', 'https://www.facebook.com/share.php?u=/exhibitors/27580-abzu-barcelona-s-l']",,https://www.mwcbarcelona.com/exhibitors/27580-abzu-barcelona-s-l
AccelerComm Ltd,"AccelerComm provides complete software defined radio solution which enables optimal performance of 5G New Radio, and solves the challenges that would otherwise limit the spectral efficiency, speed, and latency of 5G, by mitigating the effects of noise, interference and poor signal strength. This means ensuring best quality of service for 5G Mobile Network Operators, Satellite operators, and Private Network Operators whilst minimising the cost and complexity of the Radio Access Network",Hall 7 Stand 7C24,"['SYSTEMS INTEGRATION', '5G/6G', 'IOT', 'NETWORK INFRASTRUCTURE', 'SATELLITE/NON TERRESTRIAL NETWORKS']","['https://x.com/intent/tweet?text=I%20am%20at%20AccelerComm%20Ltd', 'https://www.facebook.com/share.php?u=/exhibitors/26996-accelercomm-ltd']",https://www.accelercomm.com/,https://www.mwcbarcelona.com/exhibitors/26996-accelercomm-ltd
Accelleran,Accelleran: more company information coming soon.,Hall 6 Stand 6C126MR,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Accelleran', 'https://www.facebook.com/share.php?u=/exhibitors/26403-accelleran']",,https://www.mwcbarcelona.com/exhibitors/26403-accelleran
Accenture,"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. Technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. We combine our strength in technology with unmatched industry experience, functional expertise and global delivery capability. We are uniquely able to deliver tangible outcomes because of our broad range of services, solutions and assets across Strategy & Consulting, Technology, Operations, Industry X and Accenture Song. These capabilities, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients succeed and build trusted, lasting relationships. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. Visit us at www.accenture.com.",Hall 4 Stand 4B30,['CONSULTANCY'],"['https://x.com/intent/tweet?text=I%20am%20at%20Accenture', 'https://www.facebook.com/share.php?u=/exhibitors/26934-accenture']",https://www.accenture.com/,https://www.mwcbarcelona.com/exhibitors/26934-accenture
ACCUVER,"Accuver is a leading company of 5G, 4G wireless optimization, test and measurement solutions that enable operators to validate network features, optimize cellular performance and improve customer experience. We provide solutions for drive test, network optimization, benchmarking, big data analysis, cell site maintenance and small cells.

We provide best-in-class products and solutions with latest 5G technologies including NSA, SA, Sub-6 and mmWave. Also, we support various number of chip providers such as Qualcomm, Samsung and others. Our solutions are already been used for different use cases in lab & field test by major operators and vendors all over the world.",Hall 5 Stand 5J50,"['ARTIFICIAL INTELLIGENCE', '5G/6G', 'BIG DATA/ANALYTICS', 'SATELLITE/NON TERRESTRIAL NETWORKS', 'PRIVATE NETWORKS']","['https://x.com/intent/tweet?text=I%20am%20at%20ACCUVER', 'https://www.facebook.com/share.php?u=/exhibitors/26325-accuver']",https://accuver.com/,https://www.mwcbarcelona.com/exhibitors/26674-accenture-llc
ACES (Associació Catalana d’Entitats de Salut),ACES (Associació Catalana d’Entitats de Salut): more company information coming soon.,Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C13,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20ACES%20%28Associaci%C3%B3%20Catalana%20d%E2%80%99Entitats%20de%20Salut%29', 'https://www.facebook.com/share.php?u=/exhibitors/27576-aces-associacio-catalana-dentitats-de-salut']",,https://www.mwcbarcelona.com/exhibitors/26325-accuver
Acqustic Platform,Acqustic Platform: more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1B50,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Acqustic%20Platform', 'https://www.facebook.com/share.php?u=/exhibitors/27549-acqustic-platform']",,https://www.mwcbarcelona.com/exhibitors/27549-acqustic-platform
acticom GmbH,acticom GmbH: more company information coming soon.,Hall 7 Stand 7B81,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20acticom%20GmbH', 'https://www.facebook.com/share.php?u=/exhibitors/27990-acticom-gmbh']",,https://www.mwcbarcelona.com/exhibitors/27990-acticom-gmbh
Actiontec Electronics Inc,Actiontec Electronics Inc: more company information coming soon.,Hall 7 Stand 7B4Ex,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Actiontec%20Electronics%20Inc', 'https://www.facebook.com/share.php?u=/exhibitors/26893-actiontec-electronics-inc']",,https://www.mwcbarcelona.com/exhibitors/26893-actiontec-electronics-inc
"actiontech co.,ltd","actiontech co.,ltd: more company information coming soon.",Hall 8.1 - 4YFN Stand 8.1D22.5,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20actiontech%20co.%2Cltd', 'https://www.facebook.com/share.php?u=/exhibitors/27425-actiontech-co-ltd']",,https://www.mwcbarcelona.com/exhibitors/27425-actiontech-co-ltd
AD HOC DEVELOPMENTS S.L.,AD HOC DEVELOPMENTS S.L.: more company information coming soon.,Hall 6 Stand 6C75,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AD%20HOC%20DEVELOPMENTS%20S.L.', 'https://www.facebook.com/share.php?u=/exhibitors/26772-ad-hoc-developments-s-l']",,https://www.mwcbarcelona.com/exhibitors/26772-ad-hoc-developments-s-l
Ad Telecom,Ad Telecom: more company information coming soon.,Hall Congress Square Stand CS220,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Ad%20Telecom', 'https://www.facebook.com/share.php?u=/exhibitors/27702-ad-telecom']",,https://www.mwcbarcelona.com/exhibitors/27702-ad-telecom
ADAPTit S.A,ADAPTit S.A: more company information coming soon.,Hall 1 Stand 1A28,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20ADAPTit%20S.A', 'https://www.facebook.com/share.php?u=/exhibitors/26273-adaptit-s-a']",,https://www.mwcbarcelona.com/exhibitors/26273-adaptit-s-a
ADDD Corp.,ADDD Corp.: more company information coming soon.,Hall 7 Stand 7C62,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20ADDD%20Corp.', 'https://www.facebook.com/share.php?u=/exhibitors/27861-addd-corp']",,https://www.mwcbarcelona.com/exhibitors/27861-addd-corp
ADLINK Technology Inc.,ADLINK Technology Inc.: more company information coming soon.,Hall 5 Stand 5A61,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20ADLINK%20Technology%20Inc.', 'https://www.facebook.com/share.php?u=/exhibitors/27036-adlink-technology-inc']",,https://www.mwcbarcelona.com/exhibitors/27036-adlink-technology-inc
Admirals,Admirals: more company information coming soon.,Hall Congress Square Stand CS110,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Admirals', 'https://www.facebook.com/share.php?u=/exhibitors/27254-admirals']",,https://www.mwcbarcelona.com/exhibitors/27254-admirals
AdoptoMedia OÜ,"AdoptoMedia is a fast growing company providing AI-powered marketing forecasting, planning, and analysis to marketing-driven companies. With headquarters in Estonia, AdoptoMedia’s platform is provided to SMBs, startups, investors, and enterprises through global strategic partnerships, VAR, and OEM.",Hall Congress Square Stand CS110,"['ARTIFICIAL INTELLIGENCE', 'BIG DATA/ANALYTICS', 'ENTERPRISE SOLUTIONS', 'SOFTWARE SERVICES', 'DIGITAL MARKETING/ADTECH']","['https://x.com/intent/tweet?text=I%20am%20at%20AdoptoMedia%20O%C3%9C', 'https://www.facebook.com/share.php?u=/exhibitors/27260-adoptomedia-ou']",https://adoptomedia.com/,https://www.mwcbarcelona.com/exhibitors/27260-adoptomedia-ou
Advanced Communications and Electronics Systems,Advanced Communications and Electronics Systems: more company information coming soon.,Hall 5 Stand 5I72,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Advanced%20Communications%20and%20Electronics%20Systems', 'https://www.facebook.com/share.php?u=/exhibitors/26252-advanced-communications-and-electronics-systems']",,https://www.mwcbarcelona.com/exhibitors/26252-advanced-communications-and-electronics-systems
ADVANCED WIRELESS SOLUTIONS AND SERVICES (AW2S),ADVANCED WIRELESS SOLUTIONS AND SERVICES (AW2S): more company information coming soon.,Hall 5 Stand 5B41,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20ADVANCED%20WIRELESS%20SOLUTIONS%20AND%20SERVICES%20%28AW2S%29', 'https://www.facebook.com/share.php?u=/exhibitors/27060-advanced-wireless-solutions-and-services-aw2s']",,https://www.mwcbarcelona.com/exhibitors/27060-advanced-wireless-solutions-and-services-aw2s
ADVANTAGE AUSTRIA,"ADVANTAGE AUSTRIA (Foreign Trade Promotion Organisation) offers support to Austrian companies interested in export. When it comes to marketing products and services, establishing networks with international partners and providing first-hand market knowledge, ADVANTAGE AUSTRIA helps you to get a foothold on the global markets. Advantage Austria is the official foreign trade promotion organisation and the largest provider of services in the area of foreign trade and the organiser of the Austrian Pavilion.",Hall 8.1 - 4YFN Stand 8.1C53,['GOVERNMENT/PUBLIC POLICY'],"['https://x.com/intent/tweet?text=I%20am%20at%20ADVANTAGE%20AUSTRIA', 'https://www.facebook.com/share.php?u=/exhibitors/27122-advantage-austria']",https://www.advantageaustria.org/es/Startseite.es.html,https://www.mwcbarcelona.com/exhibitors/27122-advantage-austria
Advantage Austria - Austrian Federal Chamber of Commerce,Advantage Austria - Austrian Federal Chamber of Commerce: more company information coming soon.,Hall Congress Square Stand CS190,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Advantage%20Austria%20-%20Austrian%20Federal%20Chamber%20of%20Commerce', 'https://www.facebook.com/share.php?u=/exhibitors/26389-advantage-austria-austrian-federal-chamber-of-commerce']",,https://www.mwcbarcelona.com/exhibitors/26389-advantage-austria-austrian-federal-chamber-of-commerce
Advantech Europe BV,Advantech Europe BV: more company information coming soon.,Hall 5 Stand 5D74,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Advantech%20Europe%20BV', 'https://www.facebook.com/share.php?u=/exhibitors/26254-advantech-europe-bv']",,https://www.mwcbarcelona.com/exhibitors/26254-advantech-europe-bv
Advent Technologies A/S,Advent Technologies A/S: more company information coming soon.,Hall 7 Stand 6G30,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Advent%20Technologies%20A%2FS', 'https://www.facebook.com/share.php?u=/exhibitors/27247-advent-technologies-a-s']",,https://www.mwcbarcelona.com/exhibitors/27247-advent-technologies-a-s
Aegean Solutions,Aegean Solutions: more company information coming soon.,Hall Congress Square Stand CS250,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Aegean%20Solutions', 'https://www.facebook.com/share.php?u=/exhibitors/27868-aegean-solutions']",,https://www.mwcbarcelona.com/exhibitors/27868-aegean-solutions
AEInnova,AEInnova: more company information coming soon.,Hall Congress Square Stand CS220,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AEInnova', 'https://www.facebook.com/share.php?u=/exhibitors/27710-aeinnova']",,https://www.mwcbarcelona.com/exhibitors/27710-aeinnova
"AENA S.M.E., S.A.","AENA S.M.E., S.A.: more company information coming soon.",Hall 8.1 - 4YFN Stand 8.1C61.2,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AENA%20S.M.E.%2C%20S.A.', 'https://www.facebook.com/share.php?u=/exhibitors/27314-aena-s-m-e-s-a']",,https://www.mwcbarcelona.com/exhibitors/27314-aena-s-m-e-s-a
"Aeris Communications, Inc.","Aeris Communications, Inc.: more company information coming soon.",Hall 7 Stand 7A4Ex,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Aeris%20Communications%2C%20Inc.', 'https://www.facebook.com/share.php?u=/exhibitors/27051-aeris-communications-inc']",,https://www.mwcbarcelona.com/exhibitors/27051-aeris-communications-inc
Aethertek Technology,Aethertek Technology: more company information coming soon.,Hall 5 Stand 5A61,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Aethertek%20Technology', 'https://www.facebook.com/share.php?u=/exhibitors/27033-aethertek-technology']",,https://www.mwcbarcelona.com/exhibitors/27033-aethertek-technology
Aethertek Technology,Aethertek Technology: more company information coming soon.,Hall 6 Stand 6E1,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Aethertek%20Technology', 'https://www.facebook.com/share.php?u=/exhibitors/26552-aethertek-technology']",,https://www.mwcbarcelona.com/exhibitors/26552-aethertek-technology
AGC GLASS EUROPE - TECHNOVATION CENTER,AGC GLASS EUROPE - TECHNOVATION CENTER: more company information coming soon.,Hall 7 Stand 7G51,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AGC%20GLASS%20EUROPE%20-%20TECHNOVATION%20CENTER', 'https://www.facebook.com/share.php?u=/exhibitors/27735-agc-glass-europe-technovation-center']",,https://www.mwcbarcelona.com/exhibitors/27735-agc-glass-europe-technovation-center
Agencia ciberseguretat,Agencia ciberseguretat: more company information coming soon.,Hall Congress Square Stand CS210,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Agencia%20ciberseguretat', 'https://www.facebook.com/share.php?u=/exhibitors/27787-agencia-ciberseguretat']",,https://www.mwcbarcelona.com/exhibitors/27787-agencia-ciberseguretat
Agència de Qualitat i Avaluació Sanitàries de Catalunya (AQuAS),Agència de Qualitat i Avaluació Sanitàries de Catalunya (AQuAS): more company information coming soon.,Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C13,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Ag%C3%A8ncia%20de%20Qualitat%20i%20Avaluaci%C3%B3%20Sanit%C3%A0ries%20de%20Catalunya%20%28AQuAS%29', 'https://www.facebook.com/share.php?u=/exhibitors/27575-agencia-de-qualitat-i-avaluacio-sanitaries-de-catalunya-aquas']",,https://www.mwcbarcelona.com/exhibitors/27575-agencia-de-qualitat-i-avaluacio-sanitaries-de-catalunya-aquas
Agència per a la Competitivitat de l'Empresa (ACCIÓ),Agència per a la Competitivitat de l'Empresa (ACCIÓ): more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1B25,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Ag%C3%A8ncia%20per%20a%20la%20Competitivitat%20de%20l%27Empresa%20%28ACCI%C3%93%29', 'https://www.facebook.com/share.php?u=/exhibitors/27110-agencia-per-a-la-competitivitat-de-lempresa-accio']",,https://www.mwcbarcelona.com/exhibitors/27110-agencia-per-a-la-competitivitat-de-lempresa-accio
Agencia ProCordoba SEM,Agencia ProCordoba SEM: more company information coming soon.,Hall 5 Stand 5K32,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Agencia%20ProCordoba%20SEM', 'https://www.facebook.com/share.php?u=/exhibitors/26255-agencia-procordoba-sem']",,https://www.mwcbarcelona.com/exhibitors/26255-agencia-procordoba-sem
AGILE CONTENT,AGILE CONTENT: more company information coming soon.,Hall 4 Stand 4C30,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AGILE%20CONTENT', 'https://www.facebook.com/share.php?u=/exhibitors/27666-agile-content']",,https://www.mwcbarcelona.com/exhibitors/27666-agile-content
Agile Inc,Agile Inc: more company information coming soon.,Hall 1 Stand 1C50,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Agile%20Inc', 'https://www.facebook.com/share.php?u=/exhibitors/27674-agile-inc']",,https://www.mwcbarcelona.com/exhibitors/27674-agile-inc
AGrandTech Limited,AGrandTech Limited: more company information coming soon.,Hall 5 Stand 5K44,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AGrandTech%20Limited', 'https://www.facebook.com/share.php?u=/exhibitors/26256-agrandtech-limited']",,https://www.mwcbarcelona.com/exhibitors/26256-agrandtech-limited
Agrodit,Agrodit: more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1C24.1,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Agrodit', 'https://www.facebook.com/share.php?u=/exhibitors/27487-agrodit']",,https://www.mwcbarcelona.com/exhibitors/27487-agrodit
ai-coustics UG (haftungsbeschränkt),ai-coustics UG (haftungsbeschränkt): more company information coming soon.,Hall 7 Stand 7B81,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20ai-coustics%20UG%20%28haftungsbeschr%C3%A4nkt%29', 'https://www.facebook.com/share.php?u=/exhibitors/28000-ai-coustics-ug-haftungsbeschrankt']",,https://www.mwcbarcelona.com/exhibitors/28000-ai-coustics-ug-haftungsbeschrankt
Aimbroad INC.,"Aimbroad, a Seoul-based Football AI entertainment company, focuses on audience aggregation and content accessibility.
Unleashing the allure of SGOD (Streaming Graphics On-Demand), our patented Football AI crafts real-time, in-game context through intuitive short-form graphics.
Seamlessly integrating into TV, web, or app platforms, our SGOD services offer easy access to digital football anytime, anywhere, on and off the pitch.
Stay tuned for an upcoming partnership announcement with a LaLiga club, sparking a multi-year project that transforms the stadium into a digital hotspot, aligning seamlessly with existing TV services and later moving beyond to enhance the global fanbase's engagement.",Hall 7 Stand 7A62,"['5G/6G', 'APP/MOBILE SERVICES', 'BIG DATA/ANALYTICS', 'GAMING', 'MEDIA/CONTENT/ENTERTAINMENT']","['https://x.com/intent/tweet?text=I%20am%20at%20Aimbroad%20INC.', 'https://www.facebook.com/share.php?u=/exhibitors/27626-aimbroad-inc']",https://www.aimbroad.com/,https://www.mwcbarcelona.com/exhibitors/27626-aimbroad-inc
Aimentia HealthTech,"Aimentia is a leading company providing emerging digital health solutions that leverage the power of Artificial Intelligence to improve the lives of mental health professionals and their patients. We play a unique role, helping individual patients as well as performing large scale screenings through a versatile virtual clinic. Our social commitment has already made us one of the most wanted companies in the public sector supporting medical professionals, schools and hospitals. Are you prepared to lead the change in mental healthcare practices? Meet the team at 4YFN and schedule a demo with us.",Hall 8.1 - 4YFN Stand 8.1C24.2,['HEALTH/FITNESS/WELLBEING'],"['https://x.com/intent/tweet?text=I%20am%20at%20Aimentia%20HealthTech', 'https://www.facebook.com/share.php?u=/exhibitors/27488-aimentia-healthtech']",https://www.aimentia.com/,https://www.mwcbarcelona.com/exhibitors/27488-aimentia-healthtech
"AIRBIOMETRICS ADVANCED SOLUTIONS, SL","AIRBIOMETRICS ADVANCED SOLUTIONS, SL: more company information coming soon.",Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C5,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20AIRBIOMETRICS%20ADVANCED%20SOLUTIONS%2C%20SL', 'https://www.facebook.com/share.php?u=/exhibitors/27944-airbiometrics-advanced-solutions-sl']",,https://www.mwcbarcelona.com/exhibitors/27944-airbiometrics-advanced-solutions-sl
Airbus SAS,Airbus SAS: more company information coming soon.,Hall 6 Stand 6F21,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Airbus%20SAS', 'https://www.facebook.com/share.php?u=/exhibitors/26927-airbus-sas']",,https://www.mwcbarcelona.com/exhibitors/26927-airbus-sas
