,Company,About,Location,Interests,Web_page,Social_media
11,3Tech Corporate Limited,"For over 20 years, 3Tech has been providing reliable power solutions to telecommunication industries worldwide. Our professional team delivered thousands of complete solutions from design, installation, commissioning and ongoing maintenance to more than 30 telecom operators, over 40,000 generator sets have been delivered and in operation on site. 3Tech was awarded by both ZTE and Huawei “Global Best Partner” prize, which further recognize our contribution in the telecommunication industry. <br /> In addition to telecommunication, our LionRock DC Power system can also be used in powering data communications in other industries including Infrastructure, mining, transportation, electric power network, Petrochemical and many others. <br /> #Digital Energy Solution #Telecom Energy #Energy Cabinet #Hybrid Power #Hybrid System #DataCage #Data Center #Generator #Edge Computing","Follow on Twitter
Connect on LinkedIn
Follow on Facebook
Read Blog","LOCATION
Hall 6 Stand 6B64",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%203Tech%20Corporate%20Limited%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26307-3tech-corporate-limited', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26307-3tech-corporate-limited']"
12,4BY4 INC.,"4by4, founded in 2017, is a visual content technology company that excels in shaping immersive experiences with its proprietary AI-based video advancement solution. It offers hyper-realistic content for various digital platforms and operates the KeyCutStock platform for high-quality video and image stock.<br /> <br /> 4by4&#039;s proprietary AI solution, Pixell, optimizes attributes like noise patterns, color, sharpness and resolution to emulate human vision. With deep-learning models trained on large super high-res video data, it enhances visual experiences across industries, achieving lifelike quality and lower bitrates. Seamlessly integrated into diverse workflows, it marks a significant step towards efficient, cost-effective, immersive content.",Connect on LinkedIn,"LOCATION
Hall 8.1 - 4YFN Stand 8.1C63.7",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%204BY4%20INC.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28430-4by4-inc', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28430-4by4-inc']"
13,4screen,4screen: more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1D20.1,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%204screen%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28166-4screen', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28166-4screen']"
14,5G Future Forum,"The 5GFF envisions an interconnected and interoperable global Mobile Edge Compute ecosystem, fostering widespread adoption and deployment – across operators and regions. We aim to achieve this through the 5GFF APIs that allow for the seamless discovery, deployment, and orchestration of applications on MEC environments at the edge of telco networks. 5GFF members include America Movil, Bell, KT, Rogers, Telstra, Verizon, and Vodafone.",Connect on LinkedIn,"LOCATION
Hall 8.1 - 4YFN Stand 8.1B63.2",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%205G%20Future%20Forum%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28036-5g-future-forum', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28036-5g-future-forum']"
15,5GAA - 5G Automotive Association e.V.,5GAA - 5G Automotive Association e.V.: more company information coming soon.,Hall 6 Stand 6E12,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%205GAA%20-%205G%20Automotive%20Association%20e.V.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26995-5gaa-5g-automotive-association-e-v', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26995-5gaa-5g-automotive-association-e-v']"
16,6D Technologies,"6D Technologies is a technology-driven organization that delivers innovative solutions for telecom, fintech, and enterprises. The company follows the vision of delivering smart ideas for a transformational experience with the advantage of future-driven technologies like IoT, AI/ML Ops, Big Data Analytics, 5G, Cloud, and more. We help our clients scale up their business by focusing on the interplay of smart technology offerings including Digital BSS, IoT and M2M, AI-powered Customer Value Management, Sales and Distribution, Digital Financial Solutions, Unified VAS, SMS Firewall and Networking Solutions, and more. Thrive your business with our Digital 360 initiative that caters to monetization through automation.",Hall 2 Stand 2D40,"INTERESTS
ARTIFICIAL INTELLIGENCE
CLOUD SERVICES
SMART CITIES
BIG DATA/ANALYTICS
ENTERPRISE SOLUTIONS",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%206D%20Technologies%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26837-6d-technologies', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26837-6d-technologies']"
17,6WIND,"6WIND is a leading Green Tech company that specializes in delivering Virtualized &amp; Cloud-Native networking software. The company is globally recognized as the leading provider of Virtual Service Router software solutions. <br /> 6WIND software solutions are deployed by CSPs, MNOs, Cloud Providers, Data Centers &amp; Enterprises worldwide, enabling them to replace expensive hardware &amp; build highly optimized and sustainable 5G, SD WAN, and IoT networks with virtualized networking software solutions for routing and security use cases. <br /> 6WIND has a global presence with Headquarters based in Paris – France, Santa Clara, CA – USA and Singapore. <br /> <br /> Follow 6WIND: <br /> LinkedIn: <a href=""https://www.linkedin.com/company/6WIND"" target=""_blank"">https://www.linkedin.com/company/6WIND</a> <br /> Twitter: <a href=""https://twitter.com/6WINDsoftware"" target=""_blank"">https://twitter.com/6WINDsoftware</a>",Hall 2 Stand 2D30,"INTERESTS
5G/6G
IOT
NETWORK SECURITY
SOFTWARE SERVICES
MNO/MVNO",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%206WIND%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26253-6wind', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26253-6wind']"
18,@ ZeroError.ai,"Corporate Executives are among the biggest decision makers in the world with unparalleled access to funding. Yet they remain one of the most un-served communities by AI advancements. ZeroError.ai is about humanizing AI, enabling Executives to get answers from complex and dynamic enterprise data in minutes without any tech investment. <br /> <br /> Despite recent advances in AI, decision making in corporations remains mostly supported by manual analysis and reporting. These processes are slow, siloed and prone to human errors. ZeroError.ai is a game changing AI platform providing actionable insights at unprecedented speed while addressing the common challenges of data inconsistencies, errors, and fraud. <br /> <br /> Our headquarters are in NY and part of our team is based in Europe. We are a diverse team of business executives, engineers and researchers with a passion for creating true data-driven organizations.",Hall 5 Stand 5E82,"INTERESTS
ARTIFICIAL INTELLIGENCE
CLOUD SERVICES
BIG DATA/ANALYTICS
FINTECH/FINANCE/INSURANCE SERVICES",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20%40%20ZeroError.ai%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26881-zeroerror-ai', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26881-zeroerror-ai']"
19,A-INFO Inc,A-INFO Inc: more company information coming soon.,Hall 8.0 – 4YFN & Partner Theatres Stand 8.0D5.8,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20A-INFO%20Inc%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28178-a-info-inc', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28178-a-info-inc']"
20,AALTO HAPS LIMITED,AALTO HAPS LIMITED: more company information coming soon.,Hall 4 Stand 4B25,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20AALTO%20HAPS%20LIMITED%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26673-aalto-haps-limited', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26673-aalto-haps-limited']"
21,Aava Mobile Oy - a Pepperl+Fuchs company,"Digitalizing Hazardous Areas.<br /> Enabling Connectivity.<br /> Enhancing Enterprise Mobility.<br /> <br /> The new Smart-Ex® 03 smartphone paves the way for future-oriented digitalization.<br /> <br /> Use Synergies. Bundling Know-How for Mobility Beyond Company Boundaries.<br /> <br /> Enterprise Mobility Solutions from Pepperl+Fuchs are geared towards the requests and needs of our customers and pave the way for future-oriented digitalization. They offer a competitive solution concept and portfolio from a single source to enable the next level of enterprise centric digitalization. This opens up completely new possibilities and increases the safety, efficiency, and transparency of operations in both conventional and IIoT applications—driving the value of connected solutions for mobile employees and digital transformation and thereby Pepperl+Fuchs Enterprise Mobility.<br /> <br /> Aava Mobile Oy from Pepperl+Fuchs is a leading innovator in the global enterprise tablet and handheld market. Under the brand oona Aava Mobile offers devices dedicated for simplifying check-out processes in hospitality and retail with contactless payments. Aava Mobile Oy has been part of the Pepperl+Fuchs Group since 2021.",Hall 5 Stand 5J45,"INTERESTS
5G/6G
AUTOMOTIVE/TRANSPORT
ENTERPRISE SOLUTIONS
IOT
RETAIL/DISTRIBUTION CHANNELS",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Aava%20Mobile%20Oy%20-%20a%20Pepperl%2BFuchs%20company%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27513-aava-mobile-oy-a-pepperl-fuchs-company', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27513-aava-mobile-oy-a-pepperl-fuchs-company']"
22,Abrint (Brazilian ISP Association),"ABRINT is Brazil’s main trade association for Internet Service Providers (ISPs). Formed in 2008, as a nonprofit association, ABRINT has been at the forefront of market efforts to shape telecommunications regulatory environment, promoting competition and establishing the development of the Internet industry in Brazil. <br /> <br /> Currently, ABRINT represent over 1500 ISPs that leads Brazilian broadband market share, ensuring universal and meaningful connectivity in all 27 Brazilian states.",Hall 6 Stand 6H36,"INTERESTS
CYBERSECURITY
GOVERNMENT/PUBLIC POLICY
NETWORK INFRASTRUCTURE
PRIVATE NETWORKS
MNO/MVNO",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Abrint%20%28Brazilian%20ISP%20Association%29%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27446-abrint-brazilian-isp-association', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27446-abrint-brazilian-isp-association']"
23,"ABUP Technology Co., Ltd.","ABUP Technology Co., Ltd.: more company information coming soon.",Hall 7 Stand 7F7,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ABUP%20Technology%20Co.%2C%20Ltd.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27228-abup-technology-co-ltd', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27228-abup-technology-co-ltd']"
24,"Abzu Barcelona, S.L.","Abzu Barcelona, S.L.: more company information coming soon.","Follow on Twitter
Connect on LinkedIn","LOCATION
Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C13",,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Abzu%20Barcelona%2C%20S.L.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27580-abzu-barcelona-s-l', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27580-abzu-barcelona-s-l']"
25,AccelerComm Ltd,"AccelerComm provides complete software defined radio solution which enables optimal performance of 5G New Radio, and solves the challenges that would otherwise limit the spectral efficiency, speed, and latency of 5G, by mitigating the effects of noise, interference and poor signal strength. This means ensuring best quality of service for 5G Mobile Network Operators, Satellite operators, and Private Network Operators whilst minimising the cost and complexity of the Radio Access Network",Hall 7 Stand 7C24,"INTERESTS
SYSTEMS INTEGRATION
5G/6G
IOT
NETWORK INFRASTRUCTURE
SATELLITE/NON TERRESTRIAL NETWORKS",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20AccelerComm%20Ltd%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26996-accelercomm-ltd', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26996-accelercomm-ltd']"
26,Accelleran,Accelleran: more company information coming soon.,"Hall 6 Stand 6C126MR
Hall 7 Stand 7G51",,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Accelleran%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26403-accelleran', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26403-accelleran']"
27,Accenture,"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale. Technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. We combine our strength in technology with unmatched industry experience, functional expertise and global delivery capability. We are uniquely able to deliver tangible outcomes because of our broad range of services, solutions and assets across Strategy &amp; Consulting, Technology, Operations, Industry X and Accenture Song. These capabilities, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients succeed and build trusted, lasting relationships. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. Visit us at www.accenture.com.",Hall 4 Stand 4B30,"INTERESTS
CONSULTANCY",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Accenture%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26934-accenture', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26934-accenture']"
28,Accenture LLC,Accenture LLC: more company information coming soon.,,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Accenture%20LLC%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26674-accenture-llc', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26674-accenture-llc']"
29,ACCIO Catalonia Trade & Investment,"ACCIÓ, Catalonia Trade &amp; Investment is the Catalan Government agency for foreign investment and business competitiveness. It promotes innovation, internationalisation, trade and funding of Catalan companies and startups. In addition, it offers specialised one-stop-shop services to international investors and corporations, attracting foreign direct investment to Barcelona and Catalonia. Headquartered in Barcelona, Catalonia Trade &amp; Investment operates from 40 offices around the world, covering over 100 markets.","Follow on Twitter
Connect on LinkedIn","LOCATION
Hall 8.1 - 4YFN Stand 8.1B25
Hall 8.1 - 4YFN Stand 8.1B34A
Hall 8.1 - 4YFN Stand 8.1B34B
Hall 8.1 - 4YFN Stand 8.1B35A
Hall 8.1 - 4YFN Stand 8.1B35B",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ACCIO%20Catalonia%20Trade%20%26%20Investment%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27110-accio-catalonia-trade-investment', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27110-accio-catalonia-trade-investment']"
30,ACCUVER,"Accuver is a leading company of 5G, 4G wireless optimization, test and measurement solutions that enable operators to validate network features, optimize cellular performance and improve customer experience. We provide solutions for drive test, network optimization, benchmarking, big data analysis, cell site maintenance and small cells.<br /> <br /> We provide best-in-class products and solutions with latest 5G technologies including NSA, SA, Sub-6 and mmWave. Also, we support various number of chip providers such as Qualcomm, Samsung and others. Our solutions are already been used for different use cases in lab &amp; field test by major operators and vendors all over the world.","Connect on LinkedIn
Read Blog","LOCATION
Hall 5 Stand 5J50",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ACCUVER%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26325-accuver', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26325-accuver']"
31,"ACE Barcelona, S.L.","ACE Barcelona, S.L.: more company information coming soon.",Hall 6 Stand 6B30,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ACE%20Barcelona%2C%20S.L.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28337-ace-barcelona-s-l', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28337-ace-barcelona-s-l']"
32,Acentury Inc.,Acentury Inc.: more company information coming soon.,Hall 7 Stand 7G61,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Acentury%20Inc.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28309-acentury-inc', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28309-acentury-inc']"
33,Acer Incorporated,Acer Incorporated: more company information coming soon.,Hall 3 Stand 3K2MR,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Acer%20Incorporated%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28276-acer-incorporated', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28276-acer-incorporated']"
34,ACES (Associació Catalana d’Entitats de Salut),ACES (Associació Catalana d’Entitats de Salut): more company information coming soon.,Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C13,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ACES%20%28Associaci%C3%B3%20Catalana%20d%E2%80%99Entitats%20de%20Salut%29%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27576-aces-associacio-catalana-dentitats-de-salut', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27576-aces-associacio-catalana-dentitats-de-salut']"
35,Acitoflux,Acitoflux: more company information coming soon.,Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C5,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Acitoflux%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28388-acitoflux', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28388-acitoflux']"
36,ACKLO Inc.,"ACKLO Incorporation, one of South Korea’s leading ESG innovators. ACKLOSSOONDA solutions are focused on enabling advertisers to reduce carbon emissions using modern digital signage technology, applying a combination of foot traffic data, weather data and consumer data.<br /> ACKLOSSOONDA is for eco-friendly advertising, CO2 reduction, and advertising walkers.<br /> <br /> We care deeply about the Earth and the environment.<br /> <br /> We are attempting to promote digital signage through the &quot;ACKLOSSOONDA&quot; since it is affordable and practical to use at any time, anywhere in our village and the surrounding retail market, making it accessible to any small business owner","Follow on Twitter
Connect on LinkedIn
Follow on Facebook","LOCATION
Hall 8.1 - 4YFN Stand 8.1B41.7",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20ACKLO%20Inc.%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28115-acklo-inc', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28115-acklo-inc']"
37,Acqustic Platform,Acqustic Platform: more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1B50,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Acqustic%20Platform%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27549-acqustic-platform', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27549-acqustic-platform']"
